รหัสคำถาม,คำถาม,ประเภทคำถาม,วันที่เพิ่มคำถาม
000001, คุณจะอธิบายตัวเองอย่างไร,คำถามปลายเปิด,11/09/2025
000002, เจ้านาย/เพื่อนร่วมงานของคุณบรรยายคุณว่าอย่างไร?,คำถามปลายเปิด,11/09/2025
000003, อะไรคือแรงจูงใจของคุณ?,คำถามปลายเปิด,11/09/2025
000004, อธิบายสภาพแวดล้อมการทำงานในอุดมคติของคุณ,คำถามปลายเปิด,11/09/2025
000005, เล่าเรื่องเกี่ยวกับตัวเองที่คนมักจะไม่ค่อยรู้,คำถามปลายเปิด,11/09/2025
000006, ถ้าย้อนกลับไปแก้ไขอดีตได้หนึ่งเรื่อง จะเลือกทำอะไร,คำถามปลายเปิด,11/09/2025
000007, มาทำงานในตำแหน่งปัจจุบันได้อย่างไร,คำถามปลายเปิด,11/09/2025
000008, เคยมีปัญหาติดขัดเพื่อนร่วมงานไหม,คำถามปลายเปิด,11/09/2025
000009, ถ้าอยากจะก้าวหน้า คิดว่าตัวเองต้องพัฒนาส่วนไหน,คำถามปลายเปิด,11/09/2025
000010, ผลงานสองอย่างที่คุณรู้สึกภูมิใจกับมันมากที่สุด,คำถามปลายเปิด,11/09/2025
000011, ลักษณะของ “หัวหน้างาน” ที่คุณชอบมากที่สุด,คำถามปลายเปิด,11/09/2025
100001, คุณพร้อมที่จะเริ่มงานทันทีใช่หรือไม่?,คำถามปลายปิด,11/09/2025
100002, คุณเคยเป็นผู้นำทีมใช่หรือไม่?,คำถามปลายปิด,11/09/2025
100003, คุณทำงานภายใต้ความกดดันได้ดีใช่หรือไม่?,คำถามปลายปิด,11/09/2025
100004, คุณสามารถทำงานร่วมกับผู้อื่นได้หรือไม่?,คำถามปลายปิด,11/09/2025
100005, คุณมีเป้าหมายในสายอาชีพที่ชัดเจนใช่หรือไม่?,คำถามปลายปิด,11/09/2025
100006, คุณกระตือรือร้นที่จะเรียนรู้สิ่งใหม่ๆ ใช่หรือไม่?,คำถามปลายปิด,11/09/2025
100007, คุณเคยแก้ไขปัญหาที่ยากลำบากในงานได้ไหม,คำถามปลายปิด,11/09/2025
